key,year,venue,pub_type,title,authors
conf/wsdm/SarrafzadehALLS19,2019,WSDM,inproceedings,Characterizing and Predicting Email Deferral Behavior.,Bahareh Sarrafzadeh|Ahmed Hassan Awadallah|Christopher H. Lin|Chia-Jung Lee|Milad Shokouhi|Susan T. Dumais
conf/wsdm/LuoL00022,2022,WSDM,inproceedings,Ada-GNN: Adapting to Local Patterns for Improving Graph Neural Networks.,Zihan Luo 0001|Jianxun Lian|Hong Huang 0001|Hai Jin 0001|Xing Xie 0001
conf/wsdm/YueWHZMW24,2024,WSDM,inproceedings,Linear Recurrent Units for Sequential Recommendation.,Zhenrui Yue|Yueqi Wang|Zhankui He|Huimin Zeng 0001|Julian J. McAuley|Dong Wang 0002
conf/wsdm/SchneebeliKK21,2021,WSDM,inproceedings,A Practical Federated Learning Framework for Small Number of Stakeholders.,Christian Schneebeli|Saikishore Kalloori|Severin Klingler
conf/wsdm/YangMZGZ023,2023,WSDM,inproceedings,Interpretable Research Interest Shift Detection with Temporal Heterogeneous Graphs.,Qiang Yang 0015|Changsheng Ma|Qiannan Zhang|Xin Gao 0001|Chuxu Zhang|Xiangliang Zhang 0001
conf/wsdm/NikolakopoulosK19,2019,WSDM,inproceedings,RecWalk: Nearly Uncoupled Random Walks for Top-N Recommendation.,Athanasios N. Nikolakopoulos|George Karypis
conf/wsdm/0006GL21,2021,WSDM,inproceedings,Toward User Engagement Optimization in 2D Presentation.,Liang Wu 0006|Mihajlo Grbovic|Jundong Li
conf/wsdm/FazelniaS0CL22,2022,WSDM,inproceedings,Variational User Modeling with Slow and Fast Features.,Ghazal Fazelnia|Eric Simon|Ian Anderson 0003|Benjamin A. Carterette|Mounia Lalmas
conf/wsdm/KarimiT20,2020,WSDM,inproceedings,Decision Boundary of Deep Neural Networks: Challenges and Opportunities.,Hamid Karimi|Jiliang Tang
conf/wsdm/BeheshtiHYMG020,2020,WSDM,inproceedings,personality2vec: Enabling the Analysis of Behavioral Disorders in Social Networks.,Amin Beheshti|Vahid Moraveji Hashemi|Shahpar Yakhchi|Hamid Reza Motahari-Nezhad|Seyed Mohssen Ghafari|Jian Yang 0001
conf/wsdm/ShenbinATMN20,2020,WSDM,inproceedings,RecVAE: A New Variational Autoencoder for Top-N Recommendations with Implicit Feedback.,Ilya Shenbin|Anton Alekseev 0001|Elena Tutubalina|Valentin Malykh|Sergey I. Nikolenko
conf/wsdm/SinhaVS18,2018,WSDM,inproceedings,Modeling Time to Open of Emails with a Latent State for User Engagement Level.,Moumita Sinha|Vishwa Vinay|Harvineet Singh
conf/wsdm/NaseemKKD23,2023,WSDM,inproceedings,A Multimodal Framework for the Identification of Vaccine Critical Memes on Twitter.,Usman Naseem|Jinman Kim|Matloob Khushi|Adam G. Dunn
conf/wsdm/KumarHMKFS18,2018,WSDM,inproceedings,REV2: Fraudulent User Prediction in Rating Platforms.,Srijan Kumar|Bryan Hooi|Disha Makhija|Mohit Kumar 0008|Christos Faloutsos|V. S. Subrahmanian
conf/wsdm/KoyejoL24,2024,WSDM,inproceedings,Towards Trustworthy Large Language Models.,Sanmi Koyejo|Bo Li 0026
conf/wsdm/WuRXL018,2018,WSDM,inproceedings,Indirect Supervision for Relation Extraction using Question-Answer Pairs.,Zeqiu Wu|Xiang Ren 0001|Frank F. Xu|Ji Li|Jiawei Han 0001
conf/wsdm/HanifBZWBF24,2024,WSDM,inproceedings,EvidenceQuest: An Interactive Evidence Discovery System for Explainable Artificial Intelligence.,Ambreen Hanif|Amin Beheshti|Xuyun Zhang|Steven Wood|Boualem Benatallah|EuJin Foo
conf/wsdm/TanDG022,2022,WSDM,inproceedings,Graph Few-shot Class-incremental Learning.,Zhen Tan 0001|Kaize Ding|Ruocheng Guo|Huan Liu 0001
conf/wsdm/LiK18,2018,WSDM,inproceedings,Bayesian Optimization for Optimizing Retrieval Systems.,Dan Li 0015|Evangelos Kanoulas
conf/wsdm/ZhaoDSW22,2022,WSDM,inproceedings,Towards Fair Classifiers Without Sensitive Attributes: Exploring Biases in Related Features.,Tianxiang Zhao 0001|Enyan Dai|Kai Shu|Suhang Wang
conf/wsdm/TigunovaMYW21,2021,WSDM,inproceedings,Exploring Personal Knowledge Extraction from Conversations with CHARM.,Anna Tigunova|Paramita Mirza|Andrew Yates|Gerhard Weikum
conf/wsdm/Chen0S0ZZ22,2022,WSDM,inproceedings,Graph Collaborative Reasoning.,Hanxiong Chen|Yunqi Li 0003|Shaoyun Shi|Shuchang Liu 0001|He Zhu 0001|Yongfeng Zhang 0003
conf/wsdm/MoffatP18,2018,WSDM,inproceedings,Index Compression Using Byte-Aligned ANS Coding and Two-Dimensional Contexts.,Alistair Moffat|Matthias Petri
conf/wsdm/SchedlGL23,2023,WSDM,inproceedings,Trustworthy Algorithmic Ranking Systems.,Markus Schedl|Emilia G|Elisabeth Lex
conf/wsdm/YuW0LQS19,2019,WSDM,inproceedings,NAIRS: A Neural Attentive Interpretable Recommendation System.,Shuai Yu 0002|Yongbo Wang|Min Yang 0007|Baocheng Li|Qiang Qu 0001|Jialie Shen 0001
conf/wsdm/ZhouLCWW20,2020,WSDM,inproceedings,GREASE: A Generative Model for Relevance Search over Knowledge Graphs.,Tianshuo Zhou|Ziyang Li 0005|Gong Cheng 0001|Jun Wang 0012|Yuang Wei
conf/wsdm/TangZ23,2023,WSDM,inproceedings,Range Restricted Route Recommendation Based on Spatial Keyword.,Hongwei Tang|Detian Zhang
conf/wsdm/LiuZZ024,2024,WSDM,inproceedings,Attribute Simulation for Item Embedding Enhancement in Multi-interest Recommendation.,Yaokun Liu|Xiaowang Zhang|Minghui Zou|Zhiyong Feng 0002
conf/wsdm/FabrisSSB23,2023,WSDM,inproceedings,Pairwise Fairness in Ranking as a Dissatisfaction Measure.,Alessandro Fabris|Gianmaria Silvello|Gian Antonio Susto|Asia J. Biega
conf/wsdm/RossiAKKRA20,2020,WSDM,inproceedings,A Structural Graph Representation Learning Framework.,Ryan A. Rossi|Nesreen K. Ahmed|Eunyee Koh|Sungchul Kim|Anup Rao 0002|Yasin Abbasi-Yadkori
conf/wsdm/XuYXG0W21,2021,WSDM,inproceedings,Adapting User Preference to Online Feedback in Multi-round Conversational Recommendation.,Kerui Xu|Jingxuan Yang|Jun Xu 0001|Sheng Gao 0001|Jun Guo 0002|Ji-Rong Wen
conf/wsdm/OhsakaM22,2022,WSDM,inproceedings,Reconfiguration Problems on Submodular Functions.,Naoto Ohsaka|Tatsuya Matsuoka
conf/wsdm/YangZ18,2018,WSDM,inproceedings,Differential Privacy for Information Retrieval.,Grace Hui Yang|Sicong Zhang
conf/wsdm/FriggstadGKSST18,2018,WSDM,inproceedings,Orienteering Algorithms for Generating Travel Itineraries.,Zachary Friggstad|Sreenivas Gollapudi|Kostas Kollias|Tam|Chaitanya Swamy|Andrew Tomkins
conf/wsdm/Derr0DZA24,2024,WSDM,inproceedings,The 5th International Workshop on Machine Learning on Graphs (MLoG).,Tyler Derr|Yao Ma 0001|Kaize Ding|Tong Zhao 0003|Nesreen K. Ahmed
conf/wsdm/RanganathBL18,2018,WSDM,inproceedings,Leveraging Implicit Contribution Amounts to Facilitate Microfinancing Requests.,Suhas Ranganath|Ghazaleh Beigi|Huan Liu 0001
conf/wsdm/SajadmaneshG24,2024,WSDM,inproceedings,ProGAP: Progressive Graph Neural Networks with Differential Privacy Guarantees.,Sina Sajadmanesh|Daniel Gatica-Perez
conf/wsdm/MaGCZL21,2021,WSDM,inproceedings,Deconfounding with Networked Observational Data in a Dynamic Environment.,Jing Ma 0002|Ruocheng Guo|Chen Chen 0022|Aidong Zhang 0001|Jundong Li
conf/wsdm/FeyisetanGT20,2020,WSDM,inproceedings,Workshop on Privacy in NLP (PrivateNLP 2020).,Oluwaseyi Feyisetan|Sepideh Ghanavati|Patricia Thaine
conf/wsdm/VedulaCAR23,2023,WSDM,inproceedings,Generating Explainable Product Comparisons for Online Shopping.,Nikhita Vedula|Marcus D. Collins|Eugene Agichtein|Oleg Rokhlenko
conf/wsdm/WangJRTY18,2018,WSDM,inproceedings,A Path-constrained Framework for Discriminating Substitutable and Complementary Products in E-commerce.,Zihan Wang 0002|Ziheng Jiang|Zhaochun Ren|Jiliang Tang|Dawei Yin 0001
conf/wsdm/SachdevaMRP19,2019,WSDM,inproceedings,Sequential Variational Autoencoders for Collaborative Filtering.,Noveen Sachdeva|Giuseppe Manco 0001|Ettore Ritacco|Vikram Pudi
conf/wsdm/XuanL0Y23,2023,WSDM,inproceedings,Knowledge Enhancement for Contrastive Multi-Behavior Recommendation.,Hongrui Xuan|Yi Liu 0071|Bohan Li 0001|Hongzhi Yin
conf/wsdm/LevyR23,2023,WSDM,inproceedings,DisKeyword: Tweet Corpora Exploration for Keyword Selection.,Sacha L|Reihaneh Rabbany
conf/wsdm/QiuWJZ20,2020,WSDM,inproceedings,Stepwise Reasoning for Multi-Relation Question Answering over Knowledge Graph with Weak Supervision.,Yunqi Qiu|Yuanzhuo Wang|Xiaolong Jin 0001|Kun Zhang 0041
conf/wsdm/ZhouZSL19,2019,WSDM,inproceedings,"Fake News: Fundamental Theories, Detection Strategies and Challenges.",Xinyi Zhou 0001|Reza Zafarani|Kai Shu|Huan Liu 0001
conf/wsdm/PetrovM24,2024,WSDM,inproceedings,RecJPQ: Training Large-Catalogue Sequential Recommenders.,Aleksandr V. Petrov|Craig Macdonald
conf/wsdm/DehghaniAKR19,2019,WSDM,inproceedings,"Learning to Transform, Combine, and Reason in Open-Domain Question Answering.",Mostafa Dehghani 0001|Hosein Azarbonyad|Jaap Kamps|Maarten de Rijke
conf/wsdm/ChenW21,2021,WSDM,inproceedings,An Efficient and Effective Framework for Session-based Social Recommendation.,Tianwen Chen|Raymond Chi-Wing Wong
conf/wsdm/ZhuC22,2022,WSDM,inproceedings,Fighting Mainstream Bias in Recommender Systems via Local Fine Tuning.,Ziwei Zhu 0001|James Caverlee
