key,year,venue,pub_type,title,authors
conf/sdm/MaWGXZ20,2020,SDM,inproceedings,Rare Disease Prediction by Generating Quality-Assured Electronic Health Records.,Fenglong Ma|Yaqing Wang 0001|Jing Gao 0004|Houping Xiao|Jing Zhou
conf/sdm/SainiZY0P24,2024,SDM,inproceedings,Analysis of Causal and Non-Causal Convolution Networks for Time Series Classification.,Uday Singh Saini|Zhongfang Zhuang|Chin-Chia Michael Yeh|Wei Zhang 0189|Evangelos E. Papalexakis
conf/sdm/HeimannCVK21,2021,SDM,inproceedings,Refining Network Alignment to Improve Matched Neighborhood Consistency.,Mark Heimann|Xiyuan Chen|Fatemeh Vahedian|Danai Koutra
conf/sdm/YangZS18,2018,SDM,inproceedings,ParaSketch: Parallel Tensor Factorization via Sketching.,Bo Yang 0053|Ahmed S. Zamzam|Nicholas D. Sidiropoulos
conf/sdm/BauckhageSW20,2020,SDM,inproceedings,Adiabatic Quantum Computing for Max-Sum Diversification.,Christian Bauckhage|Rafet Sifa|Stefan Wrobel
conf/sdm/ChuR022,2022,SDM,inproceedings,Learning Infomax and Domain-Independent Representations for Causal Effect Inference with Real-World Data.,Zhixuan Chu|Stephen L. Rathbun|Sheng Li 0001
conf/sdm/LiWLB23,2023,SDM,inproceedings,Influence without Authority: Maximizing Information Coverage in Hypergraphs.,Peiyan Li 0002|Honglian Wang|Kai Li|Christian B
conf/sdm/TayalJGWR022,2022,SDM,inproceedings,Invertibility aware Integration of Static and Time-series data: An application to Lake Temperature Modeling.,Kshitij Tayal|Xiaowei Jia|Rahul Ghosh|Jared Willard|Jordan S. Read|Vipin Kumar 0001
conf/sdm/JeongNJTB024,2024,SDM,inproceedings,User Migration across Multiple Social Media Platforms.,Ujun Jeong|Ayushi Nirmal|Kritshekhar Jha|Xu Tang|H. Russell Bernard|Huan Liu 0001
conf/sdm/StraussS24,2024,SDM,inproceedings,Spatial-Aware Deep Reinforcement Learning for the Traveling Officer Problem.,Niklas Strau|Matthias Schubert
conf/sdm/PhanNKR24,2024,SDM,inproceedings,Multi-polytope Machine for Classification.,Dzung T. Phan|Lam M. Nguyen|Jayant Kalagnanam|Chandra Reddy
conf/sdm/DengKLB20,2020,SDM,inproceedings,Explainable Subgraphs with Surprising Densities: A Subgroup Discovery Approach.,Junning Deng|Bo Kang|Jefrey Lijffijt|Tijl De Bie
conf/sdm/BudhathokiBV21,2021,SDM,inproceedings,Discovering Reliable Causal Rules.,Kailash Budhathoki|Mario Boley|Jilles Vreeken
conf/sdm/LeibrandtG18,2018,SDM,inproceedings,Making Kernel Density Estimation Robust towards Missing Values in Highly Incomplete Multivariate Data without Imputation.,Richard Leibrandt|Stephan G
conf/sdm/TuYWDZ20,2020,SDM,inproceedings,Attention-Aware Answers of the Crowd.,Jingzheng Tu|Guoxian Yu|Jun Wang 0035|Carlotta Domeniconi|Xiangliang Zhang 0001
conf/sdm/KosmanKS22,2022,SDM,inproceedings,Mining Logical Arithmetic Expressions From Proper Representations.,Eitan Kosman|Ilya Kolchinsky|Assaf Schuster
conf/sdm/YanHJK18,2018,SDM,inproceedings,Fast Flow-based Random Walk with Restart in a Multi-query Setting.,Yujun Yan|Mark Heimann|Di Jin 0003|Danai Koutra
conf/sdm/JoshiKG18,2018,SDM,inproceedings,Co-regularized Monotone Retargeting for Semi-supervised LeTOR.,Shalmali Joshi|Rajiv Khanna|Joydeep Ghosh
conf/sdm/LandeiroTC19,2019,SDM,inproceedings,Discovering and Controlling for Latent Confounds in Text Classification Using Adversarial Domain Adaptation.,Virgile Landeiro|Tuan Tran|Aron Culotta
conf/sdm/DongZYZWL23,2023,SDM,inproceedings,RELIANT: Fair Knowledge Distillation for Graph Neural Networks.,Yushun Dong|Binchi Zhang|Yiling Yuan|Na Zou 0001|Qi Wang|Jundong Li
conf/sdm/TanHLCZW24,2024,SDM,inproceedings,Towards More Robust and Accurate Sequential Recommendation with Cascade-guided Adversarial Training.,Juntao Tan|Shelby Heinecke|Zhiwei Liu 0001|Yongjun Chen|Yongfeng Zhang 0003|Huan Wang 0016
conf/sdm/YooK21,2021,SDM,inproceedings,Attention-Based Autoregression for Accurate and Efficient Multivariate Time Series Forecasting.,Jaemin Yoo|U Kang
conf/sdm/ZhengSHZ23,2023,SDM,inproceedings,Learning to Learn Task Transformations for Improved Few-Shot Classification.,Guangtao Zheng|Qiuling Suo|Mengdi Huai|Aidong Zhang 0001
conf/sdm/0008GTM021,2021,SDM,inproceedings,SUMDocS: Surrounding-aware Unsupervised Multi-Document Summarization.,Qi Zhu 0008|Fang Guo|Jingjing Tian|Yuning Mao|Jiawei Han 0001
conf/sdm/RoychoudhuryZO22,2022,SDM,inproceedings,Leveraging Dependencies among Learned Temporal Subsequences.,Shoumik Roychoudhury|Fang Zhou|Zoran Obradovic
conf/sdm/ChengGCL20,2020,SDM,inproceedings,Representation Learning for Imbalanced Cross-Domain Classification.,Lu Cheng 0001|Ruocheng Guo|K. Sel|Huan Liu 0001
conf/sdm/Du0S022,2022,SDM,inproceedings,Interpretable Molecular Graph Generation via Monotonic Constraints.,Yuanqi Du|Xiaojie Guo 0002|Amarda Shehu|Liang Zhao 0002
conf/sdm/JohanssonLB19,2019,SDM,inproceedings,Calibrating Probability Estimation Trees using Venn-Abers Predictors.,Ulf Johansson|Tuwe L|Henrik Bostr
conf/sdm/XuKR024,2024,SDM,inproceedings,Message Propagation Through Time: An Algorithm for Sequence Dependency Retention in Time Series Modeling.,Shaoming Xu|Ankush Khandelwal|Arvind Renganathan|Vipin Kumar 0001
conf/sdm/BernsB21,2021,SDM,inproceedings,Stochastic Time Series Representation for Interval Pattern Mining via Gaussian Processes.,Fabian Berns|Christian Beecks
conf/sdm/LiHSSL21,2021,SDM,inproceedings,Sequence-aware Heterogeneous Graph Neural Collaborative Filtering.,Chen Li|Linmei Hu|Chuan Shi 0001|Guojie Song|Yuanfu Lu
conf/sdm/MaYS24,2024,SDM,inproceedings,Pretraining Molecules with Explicit Substructure Information.,Yuting Ma|Shuo Yu 0001|Yanming Shen
conf/sdm/TanHFWP18,2018,SDM,inproceedings,Efficient search of the best warping window for Dynamic Time Warping.,Chang Wei Tan|Matthieu Herrmann|Germain Forestier|Geoffrey I. Webb|Fran
conf/sdm/LeeHL18,2018,SDM,inproceedings,Discovering Hidden Topical Hubs and Authorities in Online Social Networks.,Roy Ka-Wei Lee|Tuan-Anh Hoang|Ee-Peng Lim
conf/sdm/SemwalYMN18,2018,SDM,inproceedings,A Practitioners' Guide to Transfer Learning for Text Classification using Convolutional Neural Networks.,Tushar Semwal|Promod Yenigalla|Gaurav Mathur|Shivashankar B. Nair
conf/sdm/RajasekaranSBMD24,2024,SDM,inproceedings,COMBOOD: A Semiparametric Approach for Detecting Out-of-distribution Data for Image Classification.,Magesh Rajasekaran|Md Saiful Islam Sajol|Frej Berglind|Supratik Mukhopadhyay|Kamalika Das
conf/sdm/XieZL023,2023,SDM,inproceedings,Multimodal Graph Learning for Cross-Modal Retrieval.,Jingyou Xie|Zishuo Zhao 0001|Zhenzhou Lin|Ying Shen 0001
conf/sdm/HouHZ00W22,2022,SDM,inproceedings,Neural Graph Matching for Pre-training Graph Neural Networks.,Yupeng Hou|Binbin Hu|Wayne Xin Zhao|Zhiqiang Zhang 0012|Jun Zhou 0011|Ji-Rong Wen
conf/sdm/WangLYH0S23,2023,SDM,inproceedings,Heterogeneous Graph Contrastive Multi-view Learning.,Zehong Wang|Qi Li|Donghua Yu|Xiaolong Han|Xiao-Zhi Gao 0001|Shigen Shen
conf/sdm/ZhouSDY19,2019,SDM,inproceedings,Incremental Multi-view Support Vector Machine.,Peng Zhou 0006|Yi-Dong Shen|Liang Du 0003|Fan Ye
conf/sdm/LaRockNSCES20,2020,SDM,inproceedings,HYPA: Efficient Detection of Path Anomalies in Time Series Data on Networks.,Timothy LaRock|Vahan Nanumyan|Ingo Scholtes|Giona Casiraghi|Tina Eliassi-Rad|Frank Schweitzer
conf/sdm/ZhuangKR19,2019,SDM,inproceedings,AMAS: Attention Model for Attributed Sequence Classification.,Zhongfang Zhuang|Xiangnan Kong|Elke A. Rundensteiner
conf/sdm/KhoufacheLAGB24,2024,SDM,inproceedings,Distributed Collapsed Gibbs Sampler for Dirichlet Process Mixture Models in Federated Learning.,Reda Khoufache|Mustapha Lebbah|Hanene Azzag|Djamel Bouchaffra
conf/sdm/WangHYZ24,2024,SDM,inproceedings,On Robust Wasserstein Barycenter: The Model and Algorithm.,Xu Wang 0030|Jiawei Huang 0009|Qingyuan Yang|Jinpeng Zhang
conf/sdm/Zhang0DY024,2024,SDM,inproceedings,Deep Efficient Private Neighbor Generation for Subgraph Federated Learning.,Ke Zhang|Lichao Sun 0001|Bolin Ding|Siu Ming Yiu|Carl Yang 0001
conf/sdm/OkajimaS19,2019,SDM,inproceedings,Decision List Optimization based on Continuous Relaxation.,Yuzuru Okajima|Kunihiko Sadamasa
conf/sdm/ZhangM20,2020,SDM,inproceedings,Stacked Mixed-Order Graph Convolutional Networks for Collaborative Filtering.,Hengrui Zhang|Julian J. McAuley
conf/sdm/0006AK23,2023,SDM,inproceedings,Extrinsic-Intrinsic Representation Learning Framework for Drug Discovery.,Tian Xia 0006|Sarp Aykent|Wei-Shinn Ku
conf/sdm/LiuWGAY20,2020,SDM,inproceedings,BasConv: Aggregating Heterogeneous Interactions for Basket Recommendation with Graph Convolutional Neural Network.,Zhiwei Liu 0001|Mengting Wan|Stephen D. Guo|Kannan Achan|Philip S. Yu
conf/sdm/ZhengZH23,2023,SDM,inproceedings,Fairness-aware Multi-view Clustering.,Lecheng Zheng|Yada Zhu|Jingrui He
conf/sdm/ShalabySSG18,2018,SDM,inproceedings,An LSTM Approach to Patent Classification based on Fixed Hierarchy Vectors.,Marawan Shalaby|Jan Stutzki|Matthias Schubert|Stephan G
conf/sdm/BoleyTBW21,2021,SDM,inproceedings,Better Short than Greedy: Interpretable Models through Optimal Rule Boosting.,Mario Boley|Simon Teshuva|Pierre Le Bodic|Geoffrey I. Webb
conf/sdm/LiZL19,2019,SDM,inproceedings,TMSA: A Mutual Learning Model for Topic Discovery and Word Embedding.,Dingcheng Li|Jingyuan Zhang|Ping Li 0001
conf/sdm/GujralP18,2018,SDM,inproceedings,SMACD: Semi-supervised Multi-Aspect Community Detection.,Ekta Gujral|Evangelos E. Papalexakis
