key,year,venue,pub_type,title,authors
conf/isdmci/KirichenkoPCR24,2024,ISDMCI (1),inproceedings,Exploring Stochastic Time Series Structure Through Wavelet Entropy.,Lyudmyla Kirichenko|Oksana Pichugina|Larysa Chala|Tamara Radivilova
conf/isdmci/MirnenkoMBNH21,2021,ISDMCI,inproceedings,Assessment of the Influencing Factors Significance in Non-destructive Testing Systems of Metals Mechanical Characteristics Based on the Bayesian Network.,Volodymyr Mirnenko|Oleksandr Mishkov|Anatolii Balanda|Vasiliy Nadraga|Oleksandr Hryhorenko
conf/isdmci/ChyrunCKR19,2019,ISDMCI,inproceedings,Information System for Connection to the Access Point with Encryption WPA2 Enterprise.,Lyubomyr Chyrun|Liliya Chyrun|Yaroslav Kis|Lev Rybak
conf/isdmci/MashkovBBV19,2019,ISDMCI,inproceedings,Unconventional Approach to Unit Self-diagnosis.,Viktor Mashkov|Josef Bicanek|Yuriy Bardachov|Mariia Voronenko
conf/isdmci/ZrazhevskaZ20,2020,ISDMCI,inproceedings,Generalized Approach for Estimatingand Forecasting of Dynamical VaRand CVaR Based on Metalog Distribution.,Vira Zrazhevska|Grigoriy Zrazhevsky
conf/isdmci/PolyvodaP22,2022,ISDMCI,inproceedings,Mathematical Model of Preparing Process of Bulk Cargo for Transportation by Vessel.,Oksana Polyvoda|Vladyslav Polyvoda
conf/isdmci/KordunovaPSG22,2022,ISDMCI,inproceedings,Expert Decision Support System Modeling in Lifecycle Management of Specialized Software.,Yuliia Kordunova|Oleksandr Prydatko|Olga Smotr|Roman Golovatyi
conf/isdmci/TurbalBTTS24,2024,ISDMCI (2),inproceedings,Forecasting Algorithm Based on Intellectual Analysis of Polynomial Extrapolation.,Yurii Turbal|Andrii Bomba|Mariana Turbal|Bogdan Turbal|Denys Smirnov
conf/isdmci/BarmakKMPSW19,2019,ISDMCI,inproceedings,Research of Efficiency of Information Technology for Creation of Semantic Structure of Educational Materials.,Olexander Barmak|Iurii Krak|Olexander Mazurets|Sergey Pavlov|Andrzej Smolarz|Waldemar W
conf/isdmci/MarasanovRSSSK21,2021,ISDMCI,inproceedings,Analysis of Digital Processing of the Acoustic Emission Diagnostics Informative Parameters Under Deformation Impact Conditions.,Volodymyr Marasanov|Hanna Rudakova|Dmitry Stepanchikov|Oleksandr Sharko|Artem Sharko|Tetiana Kiryushatova
